booking_reference,passport_number,flight_number,seat_number,booking_date,status
XBTIBTOZ,P793335,AA432,26E,2024-04-21 06:20:05,Cancelled
ALWNWQKT,P236257,DA453,27A,2024-12-19 06:56:49,Confirmed
UPDVEGWN,P129909,UA954,35C,2024-01-26 10:11:52,Cancelled
WDPFVVKK,P881167,SA342,24D,2024-04-30 08:06:50,Confirmed
AFHOUYMG,P619842,AF897,6B,2024-04-20 19:22:37,Cancelled
DSFKLNSD,P655822,LF340,2F,2024-02-03 01:48:29,Confirmed
REKLMVSF,P951504,BA954,33B,2024-07-17 20:47:02,Cancelled
ROKMEMVS,P955602,QA956,2A,2024-04-02 02:42:08,Confirmed
RLEKSDIK,P341690,SA423,40F,2024-01-10 08:33:58,Cancelled
ROEKNSDV,P132304,EM123,8F,2024-11-16 08:53:05,Confirmed
IUHERNVL,P167942,EA234,34D,2024-05-08 07:46:25,Cancelled
SAEFKWIR,P767522,TA654,2B,2024-06-27 06:13:33,Confirmed
EROIJBSD,P513656,KA345,31A,2024-05-09 19:43:29,Cancelled
WOEIDSKF,P498825,JA452,5D,2024-02-02 15:16:25,Confirmed
ASPDFOJO,P450676,AI954,34E,2024-05-24 06:42:40,Cancelled
ASDKNFNS,P969673,CP954,48E,2024-09-17 20:43:27,Confirmed
ASDOFIJO,P430060,TA324,37A,2024-02-11 21:44:54,Cancelled
RTIOJOIB,P625618,QA234,30F,2024-03-09 19:34:04,Confirmed
TR0OJFNC,P529996,AA242,24F,2024-05-22 22:51:50,Cancelled
RTOIJDNK,P859983,JB452,41D,2024-12-20 08:05:30,Confirmed
